título,precio,habitaciones,área,ascensor
"Piso en Sant Jaume, Palma de Mallorca",550.000€,3 hab.,150 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",428.000€,2 hab.,94 m²,True
"Piso en Pere Garau, Palma de Mallorca",234.000€,4 hab.,102 m²,True
"Piso en calle de Carmen Martin Gaite, Son Cladera - Son Fuster, Palma de Mallorca",309.000€,3 hab.,97 m²,True
"Piso en calle d'En Bosc, Sindicat, Palma de Mallorca",365.000€,3 hab.,85 m²,True
"Piso en avenida de Joan Miró, El Terreno, Palma de Mallorca",1.395.000€,3 hab.,184 m²,True
"Piso en calle de Joan Alcover, Foners, Palma de Mallorca",1.200.000€,3 hab.,190 m²,True
"Piso en Jeroni Alemany, Son Cotoner, Palma de Mallorca",239.000€,3 hab.,100 m²,True
"Piso en paseo Cala Gamba, Coll d'En Rabassa, Palma de Mallorca",549.000€,3 hab.,130 m²,True
"Piso en calle de Francesc Vidal i Sureda, La Bonanova - Porto Pi, Palma de Mallorca",1.250.000€,2 hab.,186 m²,True
"Ático en calle dels Cossiers, Secar de la Real, Palma de Mallorca",530.000€,3 hab.,160 m²,True
"Casa o chalet independiente en calle Mar Menor, Sa Casa Blanca, Palma de Mallorca",950.000€,7 hab.,207 m²,False
"Piso en calle de Can Baró, Son Armadams, Palma de Mallorca",680.000€,3 hab.,150 m²,True
"Piso en avenida d'Antoni Maura, La Llotja, Palma de Mallorca",1.380.000€,3 hab.,247 m²,True
"Piso en calle Avinguda Mèxic, s/n, Nou Llevant, Palma de Mallorca",423.000€,4 hab.,138 m²,True
"Piso en calle Avinguda Mèxic, s/n, Nou Llevant, Palma de Mallorca",348.500€,3 hab.,117 m²,True
"Piso en calle Avinguda Mèxic, s/n, Nou Llevant, Palma de Mallorca",305.000€,2 hab.,96 m²,True
"Ático en Luis Marti, Pere Garau, Palma de Mallorca",277.000€,2 hab.,75 m²,True
"Piso en avenida del Cid, Son Ferriol, Palma de Mallorca",273.900€,3 hab.,99 m²,True
"Piso en calle de Vallseca, La Llotja, Palma de Mallorca",234.900€,1 hab.,69 m²,True
"Dúplex en La Llotja, Palma de Mallorca",875.000€,3 hab.,264 m²,True
"Piso en Illes Pitiüses, Coll d'En Rabassa, Palma de Mallorca",199.000€,3 hab.,87 m²,True
"Piso en calle del Llaüt, Ses Cadenes-Arenal, Palma de Mallorca",640.000€,3 hab.,130 m²,True
"Chalet adosado en calle del Mestre Perosi, El Vivero, Palma de Mallorca",415.000€,4 hab.,130 m²,False
"Piso en Goethe, El Forti, Palma de Mallorca",234.000€,2 hab.,64 m²,True
"Casa o chalet independiente en S'Aranjassa - Es Pil.larí, Palma de Mallorca",160.000€,3 hab.,64 m²,False
"Piso en calle de Francesc Manuel de los Herreros, Pere Garau, Palma de Mallorca",269.000€,3 hab.,102 m²,True
"Piso en Portixol-Molinar, Palma de Mallorca",229.500€,1 hab.,50 m²,True
"Piso en La Missio - Mercat, Palma de Mallorca",248.000€,2 hab.,60 m²,True
"Piso en Son Espanyolet, Palma de Mallorca",1.275.000€,3 hab.,100 m²,True
"Casa o chalet independiente en Son Xigala, Palma de Mallorca",1.085.000€,4 hab.,214 m²,False
"Piso en avenida de Jaume III, Sant Jaume, Palma de Mallorca",615.000€,2 hab.,93 m²,True
"Casa o chalet independiente en Diseminado 8504- s'Aranjassa, S'Aranjassa - Es Pil.larí, Palma de Mallorca",1.470.000€,4 hab.,386 m²,False
"Piso en calle del Vicari Antoni Marimon, Sta Catalina - El Jonquet, Palma de Mallorca",375.000€,2 hab.,85 m²,True
"Piso en calle del Pingüí, Les Maravelles, Palma de Mallorca",1.250.000€,7 hab.,300 m²,True
"Chalet adosado en calle de Cotoner, Sta Catalina - El Jonquet, Palma de Mallorca",2.950.000€,4 hab.,262 m²,False
"Chalet pareado en El Terreno, Palma de Mallorca",2.500.000€,3 hab.,277 m²,False
"Chalet adosado en Pensament, Son Dureta, Palma de Mallorca",859.000€,5 hab.,200 m²,False
"Piso en calle de Sant Joaquim, Bons Aires, Palma de Mallorca",245.000€,2 hab.,91 m²,True
"Piso en calle CL Vallgornera 1 Urb. Son Gual II Parc.4a Palma (i, Son Gual, Palma de Mallorca",530.000€,4 hab.,136 m²,True
"Estudio en calle de la Salut, 3, Son Armadams, Palma de Mallorca",650.000€,134 m²,Bajo exterior sin ascensor,True
"Piso en calle Nuredduna, Pere Garau, Palma de Mallorca",671.000€,2 hab.,80 m²,True
"Piso en calle de Ramon Muntaner, Bons Aires, Palma de Mallorca",320.000€,4 hab.,118 m²,True
"Chalet pareado en calle de l'Almirall Gravina, 9, Son Armadams, Palma de Mallorca",2.000.000€,5 hab.,493 m²,False
"Ático en avenida de Gabriel Roca, Paseo Marítimo, Palma de Mallorca",1.300.000€,3 hab.,134 m²,True
"Piso en calle del Lledoner, Rafal Vell, Palma de Mallorca",185.000€,3 hab.,135 m²,True
"Piso en calle General Riera, Cas Capiscol, Palma de Mallorca",356.000€,3 hab.,160 m²,True
"Piso en calle de la Quartereta, Sindicat, Palma de Mallorca",415.000€,2 hab.,70 m²,True
"Chalet adosado en calle de Triana, Son Espanyolet, Palma de Mallorca",1.950.000€,4 hab.,170 m²,False
"Piso en calle Patronat Obrer, Pere Garau, Palma de Mallorca",399.000€,3 hab.,125 m²,True
"Piso en Antoni Ribas, Foners, Palma de Mallorca",215.000€,2 hab.,70 m²,True
"Finca rústica en camino Agustí, Establiments - Son Sardina, Palma de Mallorca",1.100.000€,5 hab.,539 m²,False
"Casa o chalet independiente en calle Maria Antònia Salvà, 53, Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",380.000€,6 hab.,470 m²,False
"Casa o chalet independiente en paseo Cala Gamba, Coll d'En Rabassa, Palma de Mallorca",2.700.000€,6 hab.,337 m²,False
"Casa o chalet independiente en calle de Veracruz, Les Maravelles, Palma de Mallorca",2.290.000€,5 hab.,255 m²,False
"Piso en calle de Sor Francesca Veronica Bassa, La Bonanova - Porto Pi, Palma de Mallorca",925.000€,2 hab.,138 m²,True
"Ático en Joan Muntaner I Bujosa, Son Cotoner, Palma de Mallorca",225.000€,2 hab.,202 m²,True
"Chalet en calle de Sant Marçal, Portixol-Molinar, Palma de Mallorca",1.600.000€,3 hab.,280 m²,False
"Piso en calle Nuredduna, Pere Garau, Palma de Mallorca",477.000€,2 hab.,85 m²,True
"Piso en calle de Versalles, La Bonanova - Porto Pi, Palma de Mallorca",1.590.000€,4 hab.,320 m²,True
"Dúplex en calle del General Ramon Despuig, Son Vida, Palma de Mallorca",740.000€,3 hab.,128 m²,True
"Chalet en calle del Rector Vives, Genova, Palma de Mallorca",1.900.000€,8 hab.,590 m²,False
"Piso en avenida d'Antoni Maura, La Llotja, Palma de Mallorca",595.000€,3 hab.,110 m²,True
"Piso en calle del Bisbe Maura, Marqués de la Fontsanta, Palma de Mallorca",265.000€,2 hab.,77 m²,True
"Piso en calle Llinàs, Paseo Marítimo, Palma de Mallorca",630.000€,4 hab.,157 m²,True
"Piso en avenida de l'Argentina, Camp d'En Serralta , Palma de Mallorca",583.500€,3 hab.,106 m²,True
"Piso en calle de Versalles, La Bonanova - Porto Pi, Palma de Mallorca",1.590.000€,4 hab.,320 m²,True
"Piso en calle de Blanquerna, Bons Aires, Palma de Mallorca",440.000€,3 hab.,140 m²,True
"Casa o chalet independiente en calle de Miquel Pellisa, Les Maravelles, Palma de Mallorca",770.000€,4 hab.,258 m²,False
"Estudio en avenida de Joan Miró, El Terreno, Palma de Mallorca",1.500.000€,307 m²,Planta 1ª exterior sin ascensor,True
"Piso en calle de Josep Maria Palau I Camps, Portixol-Molinar, Palma de Mallorca",440.000€,2 hab.,71 m²,True
"Piso en camino de Gènova, La Teulera, Palma de Mallorca",800.000€,3 hab.,136 m²,True
"Piso en avenida de Jaume III, Sant Jaume, Palma de Mallorca",615.000€,2 hab.,100 m²,True
"Casa o chalet independiente en camino del Redol, Establiments - Son Sardina, Palma de Mallorca",1.090.000€,4 hab.,200 m²,False
"Piso en calle de Ramon y Cajal, Camp d'En Serralta , Palma de Mallorca",462.000€,4 hab.,173 m²,True
"Ático en calle de Can Danús, Sant Nicolau, Palma de Mallorca",1.790.000€,4 hab.,250 m²,True
"Piso en calle d'Alfons el Magnànim, L'Olivera - Amanecer, Palma de Mallorca",320.000€,2 hab.,84 m²,True
"Casa o chalet independiente en camino de Son Espases, Establiments - Son Sardina, Palma de Mallorca",795.000€,6 hab.,311 m²,False
"Piso en calle Pere d'Alcàntara Penya, Pere Garau, Palma de Mallorca",710.000€,3 hab.,144 m²,True
"Piso en calle dels Donants de Sang, L'Olivera - Amanecer, Palma de Mallorca",975.000€,4 hab.,300 m²,True
"Piso en calle de Lope de Vega, Camp d'En Serralta , Palma de Mallorca",699.900€,3 hab.,154 m²,True
"Casa o chalet independiente en Diseminado 4419- Son Sardina, Establiments - Son Sardina, Palma de Mallorca",2.175.000€,4 hab.,450 m²,False
